District,Name of Veterinary Hospital,Hospital Type
Kollam,"VD-KOTTANKARA,ALUMMOODU,695",VETERINARY DISPENSARY
Kollam,"VD-KULAKKADA,KULAKKADA,KULAKKADA,691521",VETERINARY DISPENSARY
Kollam,"VD-KULASEKHARAPURAM,KULASEKHARAPURAM,KATTILKADAVU,680542",VETERINARY DISPENSARY
Kollam,"VD-KUMMIL,KUMMIL,658965",VETERINARY DISPENSARY
Kollam,"VD-KUNNIKODU,VILAKKUDY,KUNNIKODU,691508",VETERINARY DISPENSARY
Kollam,"VD-KUZHIMATHICADU,KAREEPRA,KUZHIMANTHICADU,691509",VETERINARY DISPENSARY
Kollam,"VD-MANGAD,MANGAD,695",VETERINARY DISPENSARY
Kollam,"VD-MARUTHAMPALLY,POOYAPPALLY,MARUTHAMPALLY,691537",VETERINARY DISPENSARY
Kollam,"VD-MAYYANADU,MAYYANAD,PULLICHIRA,691304",VETERINARY DISPENSARY
Kollam,"VD-MULAVANA,KUNDARA,MULAVANA,691503",VETERINARY DISPENSARY
Kollam,"VD-MUNROE ISLAND,MANDROE THURUTHU,MUNROE ISLAND,691502",VETERINARY DISPENSARY
Kollam,"VD-MYNAGAPALLY,MYNAGAPPALLY,MYNAGAPALLY,690519",VETERINARY DISPENSARY
Kollam,"VD-NALLILA,NEDUMPANA, NALLIA,0",VETERINARY DISPENSARY
Kollam,"VD-NEDUMPANA,NEDUMPANA,NEDUMPANA,691515",VETERINARY DISPENSARY
Kollam,"VD-NEDUMPANA,NEDUMPANA,NEDUMPANA,691015",VETERINARY DISPENSARY
Kollam,"VD-NEENDAKARA,NEENDAKARA,NEENDAKARA,691582",VETERINARY DISPENSARY
Kollam,"VD-NILAMEL,NILAMEL,691535",VETERINARY DISPENSARY
Kollam,"VD-PANAVELY,VETTIKAVALA,PANAVELY,691544",VETERINARY DISPENSARY
Kollam,"VD-PANAYAM,PANAYAM,695",VETERINARY DISPENSARY
Kollam,"VD-PANMANA,EDAPPALLYCOTTAH,695",VETERINARY DISPENSARY
Kollam,"VD-PARAKKADAVU,SURANAD NORTH,PARAKADAVU,690561",VETERINARY DISPENSARY
Kollam,"VD-PATTAZHI,PATTAZHI VADAKKEKARA,KADAVANTHODE,691556",VETERINARY DISPENSARY
Kollam,"VD-PATTAZHY,PATTAZHI,PATTAZHY,691522",VETERINARY DISPENSARY
Kollam,"VD-PAVITHRESWARAM,PAVITHRESWARAM,KARUVELIL,689695",VETERINARY DISPENSARY
Kollam,"VD-PERAYAM,PERAYAM,PADAPPAKKARA,691503",VETERINARY DISPENSARY
Kollam,"VD-PORUVAZHY,PORUVAZHY,EDAKKADU,691552",VETERINARY DISPENSARY
Kollam,"VD-PRAYAR SOUTH,CLAPPANA,ALUMPADIKA,690547",VETERINARY DISPENSARY
Kollam,"VD-PUNUKANNUR,PUNUKANNUR,691504",VETERINARY DISPENSARY
Kollam,"VD-PUTHENKULAM,POOTHAKKULAM, PUTHENKULAM,691302",VETERINARY DISPENSARY
Kollam,"VD-RAMDALUMOODU,THALAVUR,RAMDALUMOODU,691504",VETERINARY DISPENSARY
Kollam,"VD-ROADVILA,ROADVILA,691516",VETERINARY DISPENSARY
Kollam,"VD-SANKARAPURAM,KOTTUKAL,691519",VETERINARY DISPENSARY
Kollam,"VD-SASTHAMKOTTAH,SASTHAMKOTTA,SASTHAMKOTTAH,690521",VETERINARY DISPENSARY
Kollam,"VD-SOORANADU SOUTH,SURANAD SOUTH,PATHARAM,691522",VETERINARY DISPENSARY
Kollam,"VD-THELLUMBHAGAM,THEKKUMBHAGAM,CHAVARA SOUTH,691584",VETERINARY DISPENSARY
Kollam,"VD-THENMALA,THENMALA,THENMALA,691316",VETERINARY DISPENSARY
Kollam,"VD-THEVALAPPURAM,NEDUVATHUR, THEVALAPPURAM,0",VETERINARY DISPENSARY
Kollam,"VD-UMMANNOOR,UMMANNUR, UMMANNOOR,0",VETERINARY DISPENSARY
Kollam,"VD-VELIYAM,VELIYAM,VELIYAM WEST,691540",VETERINARY DISPENSARY
Kollam,"VD-VENCHEMPU,KARAVALUR,VENCHEMBU,691333",VETERINARY DISPENSARY
Kollam,"VD-WEST KALLADA,WEST KALLADA,VILANTHARA,691502",VETERINARY DISPENSARY
Kollam,"VD-YEROOR,YEROOR,YEROOR,691312",VETERINARY DISPENSARY
Kollam,"VH-ANCHAL,ANCHAL,ANCHAL,0",VETERINARY HOSPITAL
Kollam,"VH-ANCHALUMOODU,THRIKKADAVUR,PERINADU,691601",VETERINARY HOSPITAL
Kollam,"VH-AYOOR,EDAMULACKAL,AYOOR,0",VETERINARY HOSPITAL
Kollam,"VH-CHANNAPETTAH,ALAYAMON, CHANNAPETTAH,691311",VETERINARY HOSPITAL
Kollam,"VH-CHATHANNR,CHATHANNUR,CHATHANNUR,691572",VETERINARY HOSPITAL
Kollam,"VH-CHAVARA,CHAVARA,CHAVARA,691583",VETERINARY HOSPITAL
Kollam,"VH-CHEMMAKKADU,PERINAD,CHEMAGNADU,691557",VETERINARY HOSPITAL
Kollam,"VH-CHERUVAKKAL,CHERUVAKKAL,691532",VETERINARY HOSPITAL
Kollam,"VH-KADAKKAL,KADAKKAL,691536",VETERINARY HOSPITAL
Kollam,"VH-KALLUVATHUKKAL,KALLUVATHUKKAL,KALLUVATHUKKAL,691578",VETERINARY HOSPITAL
Kollam,"VH-KARUNAGAPALLY,THODIYUR,KARUNAGAPALLY,690562",VETERINARY HOSPITAL
Kollam,"VH-KOTTARAKKARA,KOTTARAKKARA,KOTTARAKKARA,691506",VETERINARY HOSPITAL
Kollam,"VH-KOTTIYAM,ADICHCHANALLUR,KOTTIYAM,691571",VETERINARY HOSPITAL
Kollam,"VH-KULATHUPUZHA,KULATHUPPUZHA,KULATHUPUZHA,691310",VETERINARY HOSPITAL
Kollam,"VH-KUNDARA,KUNDARA,KUNDARA,691501",VETERINARY HOSPITAL
Kollam,"VH-KUNNATHUR,KUNNATHUR,KUNNATHUR EAST,690540",VETERINARY HOSPITAL
Kollam,"VH-MANAPALLY,THAZHAVA,MANAPALLY,691576",VETERINARY HOSPITAL
Kollam,"VH-OCHIRA,OACHIRA, OCHIRA,690526",VETERINARY HOSPITAL
Kollam,"VH-PATHANAPURAM,PATHANAPURAM,PATHANAPURAM,689695",VETERINARY HOSPITAL
Kollam,"VH-PUNTHALATHAZHAM,PUNTHALATHAZHAM,695865",VETERINARY HOSPITAL
Kollam,"VH-SAKTHIKULANGARA,KAVANADU,691003",VETERINARY HOSPITAL
Kollam,"VPC-KOTTAPPURAM,PUNALUR,PARAVOOR,691301",VETERINARY POLY CLINIC
Kollam,"VPC-PUNALUR,PUNALUR,PUNALUR,691305",VETERINARY POLY CLINIC
Pathanamthitta,"DVC-PATHANAMTHITTA,PATHANAMTHITTA,689645",DISTRICT VETERINARY CENTRE
Pathanamthitta,"VD-ANIKKAD,ANICKAD,PANAVELI,689589",VETERINARY DISPENSARY
Pathanamthitta,"VD-CHATHENTHARA,RANNI - PAZHAVANGADI,CHATHERTHARA,685510",VETERINARY DISPENSARY
Pathanamthitta,"VD-CHENNEERKARA,CHENNIRKKARA,CHENNEERKARA P.O, ELAVUMTHITTA,689625",VETERINARY DISPENSARY
Pathanamthitta,"VD-CHERUKULANJI,VADASSERIKKARA,CHERUKULANJI P.O,689673",VETERINARY DISPENSARY
Pathanamthitta,"VD-CHETHOMKARA,RANNI - PAZHAVANGADI,CHELLAKADU P.O, RANI,0",VETERINARY DISPENSARY
Pathanamthitta,"VD-CHITTAR,CHITTAR,689663",VETERINARY DISPENSARY
Pathanamthitta,"VD-ELAMANNOOR,ENATHIMANGALAM,ELAMANNOOR P.O,691524",VETERINARY DISPENSARY
Pathanamthitta,"VD-ELANTHUR,ELANTHOOR,ELANTHOOR ,689643",VETERINARY DISPENSARY
Pathanamthitta,"VD-ERATHU,ERATHU,VADAKKEDATHUKAVU P.O,691529",VETERINARY DISPENSARY
Pathanamthitta,"VD-EZHAMKULAM,EZHAMKULAM,NEDUMON P.O,691526",VETERINARY DISPENSARY
Pathanamthitta,"VD-IRAVON,ARUVAPPULAM,Iravon,680155",VETERINARY DISPENSARY
Pathanamthitta,"VD-KAIPATTOOR,VALLIKKODE,KAIPATTOOR P.O,689648",VETERINARY DISPENSARY
Pathanamthitta,"VD-KAKODUMON,NARANAM MUZHI,Naranammuzhi,689711",VETERINARY DISPENSARY
Pathanamthitta,"VD-KALOOPPARA,KALLUPPARA,KALLUPARA,689603",VETERINARY DISPENSARY
Pathanamthitta,"VD-KATTOOR,CHERUKOLE,NARANGANAM NORTH P.O,689642",VETERINARY DISPENSARY
Pathanamthitta,"VD-KAVIYUR,KAVIYUR,KAVIYUR,0",VETERINARY DISPENSARY
Pathanamthitta,"VD-KIDANGANNOR,ARANMULA,KIDANGANOOR P.O,689514",VETERINARY DISPENSARY
Pathanamthitta,"VD-KOTTANADU,KOTTANAD,VELLAYIL,689613",VETERINARY DISPENSARY
Pathanamthitta,"VD-KOTTANGAL,KOTTANGAL,KULATHUR,0",VETERINARY DISPENSARY
Pathanamthitta,"VD-KULANADA,KULANADA,KULANADA,689503",VETERINARY DISPENSARY
Pathanamthitta,"VD-KUNNAMTHANAM,KUNNAMTHANAM ,MANTHANAM,689581",VETERINARY DISPENSARY
Pathanamthitta,"VD-KURIANNUR,THOTTAPPUZHASSERY,KURIANNUR,689550",VETERINARY DISPENSARY
Pathanamthitta,"VD-KURICHIMUTTOM,ARANMULA,KURICHIMUTTOM P.O,689532",VETERINARY DISPENSARY
Pathanamthitta,"VD-KUTTUR,KUTTUR,NARANGANAM NORTH,689642",VETERINARY DISPENSARY
Pathanamthitta,"VD-KUZHIKKALA,MALLAPPUZHASSERY,KUZHIKKALA,689644",VETERINARY DISPENSARY
Pathanamthitta,"VD-MANNARAKULANJI,MYLAPRA,MANNARAKULANJI P.O,689678",VETERINARY DISPENSARY
Pathanamthitta,"VD-MEZHUVELI,MEZHUVELI,ULLANNOOR P.O,0",VETERINARY DISPENSARY
Pathanamthitta,"VD-NARANAMOOZHY,NARANAM MUZHI,NARANAMOOZHY,0",VETERINARY DISPENSARY
